id,timestep,consumption_eur,consumption_sib,price_eur,price_sib
337,2006-09-15 01:00,65113.0,17728.0,340.09,0.0
338,2006-09-15 02:00,64342.0,17534.0,303.24,0.0
339,2006-09-15 03:00,64168.0,17444.0,245.18,0.0
340,2006-09-15 04:00,64928.0,17473.0,302.17,0.0
341,2006-09-15 05:00,67362.0,17680.0,425.31,0.0
342,2006-09-15 06:00,70156.0,18132.0,462.44,0.0
343,2006-09-15 07:00,74284.0,18641.0,502.23,0.0
344,2006-09-15 08:00,77567.0,19108.0,525.3,0.0
345,2006-09-15 09:00,79169.0,19433.0,554.9,0.0
346,2006-09-15 10:00,79268.0,19549.0,566.35,0.0
347,2006-09-15 11:00,78808.0,19422.0,626.95,0.0
348,2006-09-15 12:00,78097.0,19227.0,559.49,0.0
349,2006-09-15 13:00,78126.0,19164.0,563.45,0.0
350,2006-09-15 14:00,77539.0,19199.0,584.6,0.0
351,2006-09-15 15:00,76811.0,19129.0,570.67,0.0
352,2006-09-15 16:00,76033.0,19039.0,585.31,0.0
353,2006-09-15 17:00,75324.0,19003.0,544.08,0.0
354,2006-09-15 18:00,75982.0,19108.0,551.35,0.0
355,2006-09-15 19:00,77747.0,19289.0,566.82,0.0
356,2006-09-15 20:00,79268.0,19531.0,564.43,0.0
357,2006-09-15 21:00,78084.0,19902.0,836.0,0.0
358,2006-09-15 22:00,73699.0,19629.0,551.19,0.0
359,2006-09-15 23:00,70085.0,18690.0,498.84,0.0
360,2006-09-16 00:00,66766.0,18172.0,449.73,0.0
361,2006-09-16 01:00,65565.0,17743.0,449.19,0.0
362,2006-09-16 02:00,64568.0,17517.0,351.01,0.0
363,2006-09-16 03:00,64181.0,17388.0,328.11,0.0
364,2006-09-16 04:00,64560.0,17424.0,326.14,0.0
365,2006-09-16 05:00,65307.0,17467.0,323.08,0.0
366,2006-09-16 06:00,65833.0,17663.0,326.1,0.0
367,2006-09-16 07:00,67542.0,17953.0,432.87,0.0
368,2006-09-16 08:00,69477.0,18337.0,434.51,0.0
369,2006-09-16 09:00,71312.0,18633.0,466.88,0.0
370,2006-09-16 10:00,71740.0,18767.0,478.47,0.0
371,2006-09-16 11:00,71746.0,18706.0,495.31,0.0
372,2006-09-16 12:00,71372.0,18618.0,484.62,0.0
373,2006-09-16 13:00,70932.0,18553.0,479.84,0.0
374,2006-09-16 14:00,70485.0,18507.0,467.51,0.0
375,2006-09-16 15:00,70317.0,18492.0,489.03,0.0
376,2006-09-16 16:00,70287.0,18505.0,471.53,0.0
377,2006-09-16 17:00,70660.0,18585.0,485.3,0.0
378,2006-09-16 18:00,71378.0,18674.0,475.86,0.0
379,2006-09-16 19:00,73654.0,18768.0,475.28,0.0
380,2006-09-16 20:00,75726.0,19201.0,523.92,0.0
381,2006-09-16 21:00,74965.0,19653.0,523.62,0.0
382,2006-09-16 22:00,71465.0,19415.0,495.52,0.0
383,2006-09-16 23:00,67793.0,18548.0,440.43,0.0
384,2006-09-17 00:00,66143.0,18124.0,425.22,0.0
385,2006-09-17 01:00,64590.0,17737.0,320.64,0.0
386,2006-09-17 02:00,63462.0,17508.0,255.3,0.0
387,2006-09-17 03:00,63096.0,17389.0,87.06,0.0
388,2006-09-17 04:00,63309.0,17335.0,251.94,0.0
389,2006-09-17 05:00,63953.0,17431.0,290.31,0.0
390,2006-09-17 06:00,64788.0,17600.0,291.25,0.0
391,2006-09-17 07:00,64894.0,17756.0,317.43,0.0
392,2006-09-17 08:00,66715.0,17972.0,388.07,0.0
393,2006-09-17 09:00,68695.0,18275.0,425.83,0.0
394,2006-09-17 10:00,69599.0,18429.0,440.15,0.0
